dataset,n_subjects,n_records,n_tasks,modality of exp,type of exp,Type Subject,duration_hours_total,size,size_bytes,source,dataset_title,record_modality,nchans_set,sampling_freqs,license,doi
ds005007,0,0,0,,Unknown,Unknown,0,Unknown,8896470075.0,openneuro,Auditory naming task with questions that begin or end with a wh-interrogative,ieeg,"[{""val"": 100, ""count"": 3}, {""val"": 74, ""count"": 2}, {""val"": 86, ""count"": 2}, {""val"": 58, ""count"": 2}, {""val"": 66, ""count"": 2}, {""val"": 116, ""count"": 2}, {""val"": 78, ""count"": 2}, {""val"": 156, ""count"": 2}, {""val"": 82, ""count"": 2}, {""val"": 68, ""count"": 1}, {""val"": 94, ""count"": 1}, {""val"": 128, ""count"": 1}, {""val"": 140, ""count"": 1}, {""val"": 155, ""count"": 1}, {""val"": 122, ""count"": 1}, {""val"": 127, ""count"": 1}, {""val"": 124, ""count"": 1}, {""val"": 102, ""count"": 1}, {""val"": 91, ""count"": 1}, {""val"": 72, ""count"": 1}, {""val"": 154, ""count"": 1}, {""val"": 138, ""count"": 1}, {""val"": 142, ""count"": 1}, {""val"": 184, ""count"": 1}, {""val"": 48, ""count"": 1}, {""val"": 114, ""count"": 1}, {""val"": 129, ""count"": 1}, {""val"": 120, ""count"": 1}, {""val"": 163, ""count"": 1}, {""val"": 137, ""count"": 1}, {""val"": 51, ""count"": 1}, {""val"": 88, ""count"": 1}]","[{""val"": 1000.0, ""count"": 42}]",CC0,doi:10.18112/openneuro.ds005007.v1.0.0
ds005021,0,0,0,,Unknown,Unknown,0,Unknown,51007318536.0,openneuro,Tilt Illusion by Phase,eeg,"[{""val"": 64, ""count"": 36}]","[{""val"": 1024.0, ""count"": 36}]",CC0,doi:10.18112/openneuro.ds005021.v1.2.1
ds005028,0,0,0,,Unknown,Unknown,0,Unknown,442568172.0,openneuro,Comparing P300 Flashing paradigms in online typing with language models,eeg,"[{""val"": null, ""count"": 105}]","[{""val"": null, ""count"": 105}]",CC0,doi:10.18112/openneuro.ds005028.v1.0.0
ds005034,0,0,0,,Unknown,Unknown,0,Unknown,65885314989.0,openneuro,The effect of theta tACS on working memory,eeg,"[{""val"": 129, ""count"": 100}]","[{""val"": 1000.0, ""count"": 100}]",CC0,doi:10.18112/openneuro.ds005034.v1.0.1
ds005048,0,0,0,,Unknown,Unknown,0,Unknown,373200390.0,openneuro,40Hz Auditory Entrainment,eeg,"[{""val"": 19, ""count"": 35}]","[{""val"": 250.0, ""count"": 35}]",CC0,doi:10.18112/openneuro.ds005048.v1.0.1
ds005059,0,0,0,,Unknown,Unknown,0,Unknown,179631838657.0,openneuro,Paired Associates Learning: Memory for Word Pairs in Cued Recall,ieeg,"[{""val"": 112, ""count"": 22}, {""val"": 126, ""count"": 15}, {""val"": 85, ""count"": 11}, {""val"": 110, ""count"": 10}, {""val"": 128, ""count"": 10}, {""val"": 104, ""count"": 9}, {""val"": 88, ""count"": 9}, {""val"": 100, ""count"": 9}, {""val"": 72, ""count"": 8}, {""val"": 64, ""count"": 8}, {""val"": 186, ""count"": 8}, {""val"": 102, ""count"": 7}, {""val"": 121, ""count"": 7}, {""val"": 116, ""count"": 7}, {""val"": 92, ""count"": 6}, {""val"": 142, ""count"": 6}, {""val"": 119, ""count"": 5}, {""val"": 97, ""count"": 5}, {""val"": 94, ""count"": 5}, {""val"": 95, ""count"": 5}, {""val"": 140, ""count"": 4}, {""val"": 106, ""count"": 4}, {""val"": 96, ""count"": 4}, {""val"": 123, ""count"": 4}, {""val"": 124, ""count"": 4}, {""val"": 139, ""count"": 4}, {""val"": 86, ""count"": 4}, {""val"": 130, ""count"": 4}, {""val"": 68, ""count"": 4}, {""val"": 84, ""count"": 3}, {""val"": 87, ""count"": 3}, {""val"": 107, ""count"": 3}, {""val"": 188, ""count"": 3}, {""val"": 120, ""count"": 3}, {""val"": 114, ""count"": 3}, {""val"": 74, ""count"": 3}, {""val"": 58, ""count"": 3}, {""val"": 173, ""count"": 3}, {""val"": 117, ""count"": 3}, {""val"": 80, ""count"": 3}, {""val"": 108, ""count"": 3}, {""val"": 83, ""count"": 3}, {""val"": 55, ""count"": 3}, {""val"": 141, ""count"": 2}, {""val"": 73, ""count"": 2}, {""val"": 118, ""count"": 2}, {""val"": 138, ""count"": 2}, {""val"": 115, ""count"": 2}, {""val"": 122, ""count"": 2}, {""val"": 149, ""count"": 2}, {""val"": 111, ""count"": 2}, {""val"": 93, ""count"": 1}, {""val"": 76, ""count"": 1}, {""val"": 46, ""count"": 1}, {""val"": 67, ""count"": 1}, {""val"": 146, ""count"": 1}, {""val"": 60, ""count"": 1}, {""val"": 77, ""count"": 1}, {""val"": 90, ""count"": 1}, {""val"": 14, ""count"": 1}, {""val"": 99, ""count"": 1}, {""val"": 177, ""count"": 1}, {""val"": 53, ""count"": 1}, {""val"": 52, ""count"": 1}, {""val"": 98, ""count"": 1}, {""val"": 133, ""count"": 1}, {""val"": 16, ""count"": 1}]","[{""val"": 1000.0, ""count"": 193}, {""val"": 500.0, ""count"": 71}, {""val"": 1024.0, ""count"": 8}, {""val"": 499.7071, ""count"": 6}, {""val"": 1600.0, ""count"": 4}]",CC0,doi:10.18112/openneuro.ds005059.v1.0.6
ds005065,0,0,0,,Unknown,Unknown,0,Unknown,457153490815.0,openneuro,Heuristics in risky decision-making relate to preferential representation of information MEG data,meg,"[{""val"": null, ""count"": 835}, {""val"": 415, ""count"": 210}, {""val"": 341, ""count"": 65}]","[{""val"": null, ""count"": 838}, {""val"": 1200.0, ""count"": 272}]",CC0,doi:10.18112/openneuro.ds005065.v1.0.0
ds005079,0,0,0,,Unknown,Unknown,0,Unknown,1809231507.0,openneuro,The Effects of Directed Therapeutic Intent on Live and Damaged Cells,eeg,"[{""val"": 65, ""count"": 60}]","[{""val"": 500.0, ""count"": 60}]",CC0,doi:10.18112/openneuro.ds005079.v2.0.0
ds005087,0,0,0,,Unknown,Unknown,0,Unknown,13146879384.0,openneuro,rapid-hemifield-object-eeg,eeg,"[{""val"": 63, ""count"": 60}]","[{""val"": 1000.0, ""count"": 60}]",CC0,doi:10.18112/openneuro.ds005087.v1.0.1
ds005089,0,0,0,,Unknown,Unknown,0,Unknown,73021312471.0,openneuro,Proactive selective attention across competition contexts,eeg,"[{""val"": 63, ""count"": 36}]","[{""val"": 1000.0, ""count"": 36}]",CC0,doi:10.18112/openneuro.ds005089.v1.0.1
